#{"t_start": 1769605749.2792034, "env_id": "None"}
r,l,t
-1.0,1000,28.721
-1.0,1000,31.808335
-1.0,1000,38.504861
-1.0,1000,41.551169
-1.0,1000,46.727305
-1.0,1000,49.740604
-1.0,1000,54.919146
-1.0,1000,57.961131
-1.0,1000,63.140166
-1.0,1000,66.168733
-1.0,1000,71.304014
-1.0,1000,74.292537
-1.0,1000,79.410706
-1.0,1000,82.411975
-1.0,1000,87.847246
-1.0,1000,90.791811
-1.0,1000,95.898618
-1.0,1000,98.892757
-1.0,1000,104.007183
-1.0,1000,107.029119
-1.0,1000,112.08511
-1.0,1000,115.065211
-1.0,1000,120.146785
-1.0,1000,123.147339
-1.0,1000,128.172115
-1.0,1000,131.176769
-1.0,1000,136.353421
-1.0,1000,139.43068
-1.0,1000,144.439363
-1.0,1000,147.445381
-1.0,1000,152.911694
-1.0,1000,155.959824
-1.0,1000,161.051575
-1.0,1000,163.988581
-1.0,1000,168.984622
-1.0,1000,171.998532
-1.0,1000,177.117325
-1.0,1000,180.178949
-1.0,1000,185.391208
-1.0,1000,188.342431
-1.0,1000,193.325473
-1.0,1000,196.296767
-1.0,1000,199.311307
-1.0,1000,204.872763
-1.0,1000,207.897027
-1.0,1000,213.078944
-1.0,1000,216.199646
-1.0,1000,221.580306
-1.0,1000,224.58153
-1.0,1000,229.767976
-1.0,1000,232.748904
-1.0,1000,237.836933
-1.0,1000,240.856947
-1.0,1000,245.881739
-1.0,1000,248.924791
-1.0,1000,254.045591
-1.0,1000,257.066523
-1.0,1000,262.217362
-1.0,1000,265.241178
-1.0,1000,270.552271
-1.0,1000,273.546113
-1.0,1000,278.759522
-1.0,1000,281.818995
-1.0,1000,287.290686
-1.0,1000,290.291
-1.0,1000,295.3066
-1.0,1000,298.292879
-1.0,1000,303.42072
-1.0,1000,306.444948
-1.0,1000,311.545106
-1.0,1000,314.573877
-1.0,1000,319.824207
-1.0,1000,322.84128
-1.0,1000,327.920569
-1.0,1000,330.976811
-1.0,1000,336.264957
-1.0,1000,339.246446
-1.0,1000,344.366162
-1.0,1000,347.408422
-1.0,1000,352.921516
-1.0,1000,355.950504
-1.0,1000,361.115237
-1.0,1000,364.12067
-1.0,1000,369.294842
-1.0,1000,372.299417
-1.0,1000,375.305776
-1.0,1000,380.37229
-1.0,1000,383.35791
-1.0,1000,388.7081
-1.0,1000,391.858256
-1.0,1000,397.549482
-1.0,1000,400.743573
-1.0,1000,406.054495
-1.0,1000,409.078932
-1.0,1000,414.271499
-1.0,1000,417.387713
-1.0,1000,422.551152
-1.0,1000,425.521528
-1.0,1000,430.63086
-1.0,1000,433.646704
-1.0,1000,438.760446
-1.0,1000,441.828316
-1.0,1000,446.86482
-1.0,1000,449.851741
-1.0,1000,455.037057
-1.0,1000,458.042393
-1.0,1000,463.132192
-1.0,1000,466.212129
-1.0,1000,471.423421
-1.0,1000,474.348372
-1.0,1000,479.399782
-1.0,1000,482.605558
-1.0,1000,487.737592
-1.0,1000,490.758382
-1.0,1000,495.943485
-1.0,1000,498.965213
-1.0,1000,504.220344
-1.0,1000,507.238575
-1.0,1000,512.428947
-1.0,1000,515.445224
-1.0,1000,520.569107
-1.0,1000,523.618333
-1.0,1000,528.801738
-1.0,1000,531.866389
-1.0,1000,537.119508
-1.0,1000,540.23811
-1.0,1000,545.289119
-1.0,1000,548.442711
-1.0,1000,551.443946
-1.0,1000,556.592554
-1.0,1000,559.587972
-1.0,1000,564.702157
-1.0,1000,567.671181
-1.0,1000,572.701026
-1.0,1000,575.700685
-1.0,1000,580.815941
-1.0,1000,583.841601
-1.0,1000,588.951494
-1.0,1000,591.979823
-1.0,1000,597.033177
-1.0,1000,600.029838
-1.0,1000,605.047414
-1.0,1000,608.069199
-1.0,1000,613.238699
-1.0,1000,616.409161
-1.0,1000,621.413893
-1.0,1000,624.373813
-1.0,1000,629.466197
-1.0,1000,632.458659
-1.0,1000,637.531672
-1.0,1000,640.515902
-1.0,1000,645.663631
-1.0,1000,648.659405
-1.0,1000,653.702217
-1.0,1000,656.675484
-1.0,1000,661.859895
-1.0,1000,664.957429
-1.0,1000,670.025036
-1.0,1000,673.048302
-1.0,1000,678.191975
-1.0,1000,681.324797
-1.0,1000,686.411767
-1.0,1000,689.355175
-1.0,1000,694.406613
-1.0,1000,697.358845
-1.0,1000,702.417674
-1.0,1000,705.396104
-1.0,1000,710.470192
-1.0,1000,713.486592
-1.0,1000,718.444476
-1.0,1000,721.469944
-1.0,1000,724.427102
-1.0,1000,729.542408
-1.0,1000,732.579771
-1.0,1000,737.758552
-1.0,1000,740.781804
-1.0,1000,757.581205
-1.0,1000,765.783758
-1.0,1000,773.432853
-1.0,1000,776.608558
-1.0,1000,783.471438
-1.0,1000,789.43457
-1.0,1000,795.49256
-1.0,1000,798.687784
-1.0,1000,805.711708
-1.0,1000,810.760097
-1.0,1000,816.243398
-1.0,1000,821.545745
-1.0,1000,826.804485
-1.0,1000,830.572486
-1.0,1000,837.028842
-1.0,1000,843.209355
-1.0,1000,849.311114
-1.0,1000,854.527605
-1.0,1000,860.216322
-1.0,1000,863.514074
-1.0,1000,869.244694
-1.0,1000,872.496794
-1.0,1000,883.250032
-1.0,1000,891.138874
