#{"t_start": 1769605749.2813501, "env_id": "None"}
r,l,t
-1.0,1000,29.744164
-1.0,1000,32.854587
-1.0,1000,39.553535
-1.0,1000,42.587833
-1.0,1000,47.77135
-1.0,1000,50.782217
-1.0,1000,55.961581
-1.0,1000,59.00313
-1.0,1000,64.192296
-1.0,1000,67.208499
-1.0,1000,72.326792
-1.0,1000,75.337307
-1.0,1000,80.453945
-1.0,1000,83.462212
-1.0,1000,88.868201
-1.0,1000,91.842505
-1.0,1000,96.945567
-1.0,1000,99.906276
-1.0,1000,105.053615
-1.0,1000,108.07847
-1.0,1000,113.119674
-1.0,1000,116.108374
-1.0,1000,121.188902
-1.0,1000,124.199967
-1.0,1000,129.20919
-1.0,1000,132.216953
-1.0,1000,137.408376
-1.0,1000,140.479621
-1.0,1000,145.489496
-1.0,1000,148.489151
-1.0,1000,153.961222
-1.0,1000,156.999813
-1.0,1000,162.072157
-1.0,1000,165.032337
-1.0,1000,170.008678
-1.0,1000,173.015949
-1.0,1000,178.159502
-1.0,1000,181.218062
-1.0,1000,186.41412
-1.0,1000,189.384949
-1.0,1000,194.339586
-1.0,1000,197.332895
-1.0,1000,200.360394
-1.0,1000,205.914966
-1.0,1000,208.940298
-1.0,1000,214.126779
-1.0,1000,217.218588
-1.0,1000,222.618769
-1.0,1000,225.623539
-1.0,1000,230.787307
-1.0,1000,233.788526
-1.0,1000,238.874037
-1.0,1000,241.877545
-1.0,1000,246.922754
-1.0,1000,249.968689
-1.0,1000,255.059881
-1.0,1000,258.117551
-1.0,1000,263.265369
-1.0,1000,266.256178
-1.0,1000,271.567317
-1.0,1000,274.598445
-1.0,1000,279.805892
-1.0,1000,282.876555
-1.0,1000,288.322426
-1.0,1000,291.325233
-1.0,1000,296.328317
-1.0,1000,299.332831
-1.0,1000,304.463687
-1.0,1000,307.466517
-1.0,1000,312.592151
-1.0,1000,315.618891
-1.0,1000,320.869743
-1.0,1000,323.858801
-1.0,1000,328.967674
-1.0,1000,332.023685
-1.0,1000,337.278103
-1.0,1000,340.305394
-1.0,1000,345.418532
-1.0,1000,348.445609
-1.0,1000,353.963777
-1.0,1000,356.989698
-1.0,1000,362.15351
-1.0,1000,365.169445
-1.0,1000,370.321505
-1.0,1000,373.33954
-1.0,1000,376.345721
-1.0,1000,381.404375
-1.0,1000,384.408779
-1.0,1000,389.726513
-1.0,1000,392.872205
-1.0,1000,398.564292
-1.0,1000,401.78273
-1.0,1000,407.091058
-1.0,1000,410.121789
-1.0,1000,415.290236
-1.0,1000,418.405108
-1.0,1000,423.581222
-1.0,1000,426.56188
-1.0,1000,431.681652
-1.0,1000,434.661292
-1.0,1000,439.798262
-1.0,1000,442.878526
-1.0,1000,447.906119
-1.0,1000,450.891877
-1.0,1000,456.080964
-1.0,1000,459.066985
-1.0,1000,464.182014
-1.0,1000,467.264911
-1.0,1000,472.437524
-1.0,1000,475.394344
-1.0,1000,480.440963
-1.0,1000,483.631846
-1.0,1000,488.782501
-1.0,1000,491.806516
-1.0,1000,496.979752
-1.0,1000,500.015952
-1.0,1000,505.260077
-1.0,1000,508.28395
-1.0,1000,513.469333
-1.0,1000,516.494604
-1.0,1000,521.612985
-1.0,1000,524.673875
-1.0,1000,529.846209
-1.0,1000,532.911776
-1.0,1000,538.159814
-1.0,1000,541.278525
-1.0,1000,546.338855
-1.0,1000,549.462171
-1.0,1000,552.479291
-1.0,1000,557.630888
-1.0,1000,560.634799
-1.0,1000,565.739557
-1.0,1000,568.691309
-1.0,1000,573.747779
-1.0,1000,576.744413
-1.0,1000,581.867865
-1.0,1000,584.894666
-1.0,1000,590.000179
-1.0,1000,593.029206
-1.0,1000,598.047161
-1.0,1000,601.044205
-1.0,1000,606.087796
-1.0,1000,609.111171
-1.0,1000,614.287919
-1.0,1000,617.449844
-1.0,1000,622.427235
-1.0,1000,625.420248
-1.0,1000,630.505867
-1.0,1000,633.501104
-1.0,1000,638.570134
-1.0,1000,641.562163
-1.0,1000,646.701298
-1.0,1000,649.700102
-1.0,1000,654.739523
-1.0,1000,657.733629
-1.0,1000,662.90363
-1.0,1000,666.002181
-1.0,1000,671.076973
-1.0,1000,674.091225
-1.0,1000,679.244813
-1.0,1000,682.339492
-1.0,1000,687.434368
-1.0,1000,690.40434
-1.0,1000,695.424505
-1.0,1000,698.39995
-1.0,1000,703.459667
-1.0,1000,706.448244
-1.0,1000,711.514407
-1.0,1000,714.528296
-1.0,1000,719.48642
-1.0,1000,722.507926
-1.0,1000,725.480576
-1.0,1000,730.579721
-1.0,1000,733.618621
-1.0,1000,738.8012
-1.0,1000,741.826562
-1.0,1000,758.629884
-1.0,1000,766.84315
-1.0,1000,774.461601
-1.0,1000,777.655254
-1.0,1000,784.517775
-1.0,1000,790.488239
-1.0,1000,796.557517
-1.0,1000,799.744867
-1.0,1000,806.758291
-1.0,1000,811.812661
-1.0,1000,817.301868
-1.0,1000,822.600567
-1.0,1000,827.859718
-1.0,1000,831.625032
-1.0,1000,838.06066
-1.0,1000,844.266276
-1.0,1000,850.359149
-1.0,1000,855.576305
-1.0,1000,861.241173
-1.0,1000,864.542862
-1.0,1000,870.309512
-1.0,1000,873.543339
-1.0,1000,884.308774
-1.0,1000,892.200749
